date,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2026-03-01,48.16000075,50.50500125,51.4850005,50.73999875,49.550000499999996,48.67,48.957500749999994,50.434999499999996,49.42750075,22.8175,15.51,12.4275,11.5975,12.397499999999999,18.0000005,33.27500125,74.83250050000001,103.76000025,110.2024995,100.72250175,90.1550005,81.31499875,74.62999725,68.142499
2026-03-02,65.1224995,66.9375,69.000002,69.56750075,74.03000075,84.63999975,99.64249975,136.47500225,126.41999999999999,104.95500200000001,97.8549995,100.465,98.49250025,89.8775005,88.5625,88.52499974999999,109.1500015,173.5025005,188.0,145.5875035,109.58499925,96.91249875,96.352499,88.8950005
2026-03-03,89.06249825,90.120001,89.4249995,92.8150005,95.7225,103.1875,128.34500125,156.39999775,136.78499975,99.52249925000001,78.16750025,55.92000025,32.35999975,35.6575005,64.13749875,86.7650015,113.092499,159.70500175,204.26250075000002,173.3700005,131.8425005,116.067501,103.95750025000001,98.44000249999999
2026-03-04,129.00499925,127.82250025,125.3200015,124.7350005,128.20499999999998,132.0200005,195.82499675,260.579998,193.35750025,150.76749999999998,110.42000200000001,78.2975015,42.492501499999996,32.97499975,65.400001,98.64749925000001,137.682499,244.2749975,310.8650055,246.92499924999998,173.58500275,152.20249925,142.2474995,124.8099975
2026-03-05,116.49000175,109.932499,109.2625005,108.785,111.06500025,126.9375,154.39499849999999,175.55499675000002,139.494999,96.93000025,72.00249875,62.67999925,61.5375005,61.81000025,64.60000025,89.58750075,138.159996,180.38249575,192.0300025,165.005001,135.657499,130.18250075,130.14499825000001,119.70250125
2026-03-06,104.125,105.99999975,108.522499,109.52500175,115.5025005,128.999998,157.95999925,177.3775025,138.33250225,111.920002,96.61250100000001,75.94250124999999,52.739999749999996,50.22999975,74.27999875,106.49500075,127.1175005,180.98249825,229.57249825,189.77499749999998,153.11750025,134.19750025,127.25,126.07999975
2026-03-07,135.170002,130.6849955,125.68000025,124.3899995,124.74749925,129.1349965,136.0699995,129.55750275,112.89000125,102.77249725,79.10999875,68.370001,67.180002,63.3650005,59.2825,84.477499,130.77749625,156.4974975,180.95249925000002,166.795002,148.27250275,137.66499725,134.25250225,130.70250125
2026-03-08,133.6450005,132.76749825,131.21999925,130.12750075,129.36999525,129.66250225,131.115002,116.98999975,108.527502,90.6799985,62.75250025,26.8275,25.854999499999998,27.1475,30.95249975,70.0225,118.26000225,146.31249775,160.25999825,154.04999899999999,138.78750025,127.40499675,121.06500025,113.53000075
2026-03-09,114.0474985,109.232498,109.07999975,110.44000075,116.3500005,136.95750049999998,163.8950005,191.552502,162.5525015,127.05000100000001,101.10499949999999,81.682501,69.69249925,68.92499725,81.37000075,112.98749925,143.43750025,187.0175,246.114998,222.3775025,180.824997,152.08749774999998,143.20250325,132.63250325
2026-03-10,138.51750175,130.3799955,127.5475005,126.8374995,128.42249875,138.56500225,167.984997,181.244999,173.215,140.4575005,118.1800005,103.7299995,91.37750025,96.9699995,107.1050015,121.4225005,144.32999775000002,178.9349975,218.13499825,201.03000275,157.47249975,135.16749775,123.20000075,98.11499975
2026-03-11,83.9225005,70.7825,65.405,63.537499249999996,49.34499925,56.5074995,69.99750075,79.80999975,75.472499,57.93750025,35.6924995,32.05000025,31.1900005,29.24749975,47.19,71.9350005,93.549999,112.19750025,134.94000225,149.22000125,128.13499825,115.75500075,108.01250075,99.590002
2026-03-12,79.84249875,77.84250075,81.107502,75.5625,67.432499,74.67250075,88.49250025,91.53249925,97.745001,57.79749975,25.68249975,1.92,0.065,-0.04,-0.04,3.495,34.870000000000005,77.23750025000001,88.510001,71.22499925,40.36250025,33.46750025,19.099999999999998,11.237499750000001
2026-03-13,6.295,4.105,2.8875,1.1475,1.465,2.9074999999999998,8.4575,19.925,6.9575,2.0025,1.6,1.6,1.5925,1.6075,2.6375,47.06999975,100.16250025,133.47000325,160.09749625,165.67749775,145.657501,127.375,123.35500125,115.7424985
2026-03-14,112.8850005,109.01249875,103.94000075,101.81500225,105.062502,109.01000024999999,111.4574985,116.64749875000001,121.8149985,116.08250025,107.46749875,103.47750099999999,104.14499875,103.3799995,105.6275005,114.17,129.9524995,138.597498,161.03750225,169.76750149999998,150.205002,137.392498,135.18000025,127.9900015
2026-03-15,137.28500175,133.675003,124.91000175,123.47999974999999,122.130001,124.07499875,124.3475,117.77000025,109.05749875,94.7424985,87.28500175,72.19749924999999,52.96000025,36.45499975,37.3474995,62.9174995,85.4874985,116.710001,127.955002,124.71500025,99.51250075,84.7250005,76.06250175,58.63249975
