ALSO-X_shortfall_kw,CVaR_shortfall_kw
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
23.649983879831836,2.379558822528338
2.623591676055071,0.0
3.210920423795386,0.0
21.305328766495364,0.03490370919186603
31.90147913132904,10.631054074025542
15.854610612307027,0.0
32.86816343091371,11.597738373610213
32.86816343091371,11.597738373610213
24.72982098157385,3.4593959242703534
17.24179956887636,0.0
0.0,0.0
0.0,0.0
23.395549061092794,2.1251240037892956
20.767928621618836,0.0
11.083651798293516,0.0
32.86816343091371,11.597738373610213
29.167825283449957,7.897400226146459
32.86816343091371,11.597738373610213
8.737059379238929,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.128900120378518,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
5.541405286533177,0.0
11.610631320622701,0.0
21.103722907829678,0.0
8.020845021518113,0.0
19.101544351163824,0.0
32.86816343091371,11.597738373610213
32.86816343091371,11.597738373610213
32.86816343091371,11.597738373610213
32.86816343091371,11.597738373610213
